variable,coef,odds_ratio,auc,p_value,n
elo_rating,1.91032990467453,6.755317041627134,0.9155844155844156,2.3852326780371413e-09,461
fifa_rank,-1.8889811544369395,0.15122580611490793,0.9012721238938053,5.0414369328066755e-06,234
fifa_rank_inverse,0.6013921856706366,1.824657294692301,0.9012721238938053,5.0414369328066755e-06,234
football_tradition,2.2248479750004475,9.25207615011375,0.8841020713218022,4.597655589577698e-12,467
is_former_champion,1.8906491780672061,6.623667225118867,0.8665919282511211,2.0161650127192843e-13,467
football_power_index,0.6653819118513205,1.9452332871382128,0.8658008658008658,2.504663143554353e-13,461
health_spending_pct_gdp,0.9233097539075086,2.517609282759389,0.7879684418145957,6.401206031902973e-08,175
military_personnel,0.19280282045533503,1.2126436614189156,0.7767425810904072,1.1162113455753797e-09,214
population_vs_avg,0.2977752732359753,1.3468590785850603,0.7749295774647887,8.881784197001252e-16,370
population,0.15569360756704184,1.1684681384427495,0.7683568075117371,4.440892098500626e-16,370
population_log,0.9379003740989237,2.5546120538379906,0.7683568075117371,4.440892098500626e-16,370
population_vs_winner,0.21493754643640764,1.2397844655901917,0.7679640718562875,3.1086244689504383e-15,349
population_rank,-1.0987166790725404,0.3332985383480193,0.7654460093896713,4.440892098500626e-16,370
trade_pct_gdp,-1.2106217969996689,0.29801191889051426,0.7456816059757236,6.661338147750939e-15,320
years_since_last_final,-0.8702042280099732,0.41886599634290805,0.7453555413196669,0.0,467
wc_semifinals_before,0.5498673016442064,1.7330230333013743,0.743006619688234,0.0,467
gdp_total_rank,-0.9972413836111607,0.36889568048973215,0.7400805639476334,4.440892098500626e-16,346
wc_finals_before,0.5202426913658117,1.6824359128254889,0.7381486226777708,0.0,467
years_since_last_win,-0.6848941733564183,0.5041435785747067,0.701686952808029,0.0,467
wc_titles_before,0.43527125811511835,1.5453821995637131,0.6965620328849028,0.0,467
is_strong_sa,0.6648083354270907,1.9441178671049808,0.6898889600683323,0.0,467
wc_participations_before,0.5533331037882736,1.739039768630367,0.6678411274823831,0.0,467
air_transport_passengers,0.2627119701168991,1.3004520959378314,0.6585456344298788,0.0,324
is_south_america,0.5519672604923056,1.7366661341963077,0.6506512919068972,0.0,467
gdp_total,0.26251429567544493,1.300195055202158,0.638368580060423,0.0,346
gdp_total_log,0.4950884846450012,1.6406434043837086,0.638368580060423,0.0,346
tertiary_enrollment,0.39310737496813264,1.4815774651218359,0.636759581881533,3.194791098337646e-10,171
unemployment,0.25461955172517525,1.2899707603549406,0.6335616438356164,3.885780586188048e-13,227
is_host,0.49648416487785474,1.6429348166197921,0.6249199231262011,0.0,467
urbanization_pct,0.40465303653086304,1.498782387095378,0.6164319248826291,0.0,370
is_strong_europe,0.43684622465255274,1.5478180424976156,0.6156310057655349,0.0,467
avg_goals_per_match,0.23172744366123874,1.260776049490419,0.5979607089472561,0.0,467
years_since_last_wc,-0.1645249876802778,0.8482965597162908,0.5978005551996584,0.0,467
rd_spending_pct_gdp,0.15808968723928732,1.171271238080874,0.5972222222222222,1.6720294038208294e-09,151
num_teams_in_tournament,-0.34257555927043554,0.7099394748501326,0.5966260943839419,0.0,467
govt_spending_pct_gdp,0.32403244468147246,1.3826921673986825,0.5958408679927667,1.7763568394002505e-14,244
physicians_per_1000,0.23008408061675936,1.2587058382435588,0.5875545851528384,2.731148640577885e-14,239
total_goals_in_tournament,-0.2846170851985561,0.7523022668468691,0.5862694853726244,0.0,467
secondary_enrollment,0.18377076077079185,1.2017403054964466,0.5852272727272727,2.648659069848236e-11,183
investment_pct_gdp,-0.2448506591463305,0.7828214367344233,0.5841088878548162,0.0,321
gdp_per_capita_rank,-0.3331220564360982,0.7166827130792217,0.575730110775428,0.0,346
fdi_pct_gdp,-0.22920451831098762,0.7951658908890047,0.5628915058882485,0.0,320
electricity_access_pct,0.4430388709385043,1.557432872042587,0.556938559322034,8.43769498715119e-15,244
pop_density,-0.1896328201241954,0.8272628324480367,0.5542037586547972,0.0,352
internet_users_pct,0.1438840444001283,1.1547502010091406,0.5492424242424242,1.4432899320127035e-14,239
military_spending_pct_gdp,0.01935414964783104,1.019542655360774,0.548343685300207,0.0,337
gdp_per_capita_vs_avg,0.04394139274372236,1.0449211131343883,0.5473313192346425,0.0,346
is_asia,-0.6856582247126548,0.503758534105365,0.547085201793722,0.0,467
is_africa,-0.6856582247126546,0.5037585341053651,0.547085201793722,0.0,467
gdp_growth,-0.04744775430588131,0.9536602964752302,0.5404833836858006,0.0,346
is_north_america,-0.5763891273808799,0.5619237427337596,0.5336322869955157,0.0,467
edu_spending_pct_gdp,-0.2752272790443657,0.7593995080153281,0.524904214559387,3.566036355096003e-13,212
infant_mortality,0.1595680350590789,1.173004064906863,0.5207854406130268,0.0,363
under5_mortality,0.0937945255273812,1.0983340431216166,0.5194444444444445,0.0,363
is_europe,-0.06148489284859417,0.9403671519010619,0.5161221439248346,0.0,467
gini_index,0.02451621463403399,1.0248192080408889,0.5113168724279835,6.290212795079242e-11,171
gdp_per_capita_log,-0.0711001575204392,0.9313686038859305,0.5034239677744209,0.0,346
gdp_per_capita,-0.0206198864467712,0.9795912497203043,0.5034239677744209,0.0,346
population_growth,-0.026523882501690417,0.9738247861857084,0.5024413145539905,0.0,370
is_oceania,-0.14586267886913734,0.8642763784458118,0.5022421524663677,0.0,467
inflation,0.23357759030649508,1.2631108292452644,0.4963810075275043,0.0,325
life_expectancy,0.013918698442682485,1.014016014505983,0.49568075117370886,0.0,370
gdp_per_capita_vs_winner,-0.3812617951994498,0.6829990603373721,0.43569131832797425,0.0,326
