fold_year,auc,precision,recall,f1,brier
1930,1.0,0.0,0.0,0.0,0.07974359605163994
1934,1.0,1.0,1.0,1.0,0.10602648980148453
1938,1.0,0.5,1.0,0.6666666666666666,0.10605952024885922
1950,0.9166666666666666,0.0,0.0,0.0,0.11231384519575324
1954,0.7333333333333334,0.0,0.0,0.0,0.12908027143686324
1958,1.0,0.5,1.0,0.6666666666666666,0.12813124900013897
1962,1.0,1.0,1.0,1.0,0.11148977236237186
1966,0.9666666666666667,0.5,1.0,0.6666666666666666,0.12654511844404892
1970,1.0,0.3333333333333333,1.0,0.5,0.1418050461126033
1974,1.0,0.3333333333333333,1.0,0.5,0.1343936791238429
1978,1.0,0.25,1.0,0.4,0.14542025885005935
1982,0.9318181818181818,0.3333333333333333,1.0,0.5,0.1264357001112106
1986,1.0,0.25,1.0,0.4,0.14388273749082206
1990,,0.0,0.0,0.0,0.15039491748531042
1994,1.0,0.2,1.0,0.3333333333333333,0.17427515824449855
1998,0.9655172413793103,0.1111111111111111,1.0,0.2,0.1901821679708476
2002,1.0,0.125,1.0,0.2222222222222222,0.18887320387261547
2006,0.8793103448275862,0.1111111111111111,1.0,0.2,0.1850606328824252
2010,1.0,0.125,1.0,0.2222222222222222,0.18814979832100842
2014,0.9655172413793103,0.07692307692307693,1.0,0.14285714285714285,0.22240129279937776
2018,0.9516129032258065,0.09090909090909091,1.0,0.16666666666666666,0.20791673865360039
2022,0.9666666666666667,0.07692307692307693,1.0,0.14285714285714285,0.230074982556448
