feature,vif
elo_rating,3.1184229856827583
football_tradition,3.4066781967104056
is_strong_sa,3.8778660530494022
is_host,1.1072004142219223
years_since_last_final,3.8179994323866295
years_since_last_win,3.5500501801832187
wc_semifinals_before,4.505660232765239
is_south_america,2.494544052817274
wc_participations_before,3.01651819405894
population_log,1.956193095538013
fifa_rank_inverse,1.6858361503221055
gdp_total_rank,2.4158800942922145
fifa_rank,1.8332995335223412
trade_pct_gdp,1.7580204947187523
is_strong_europe,2.191869223064011
