penalty,C,solver,mean_auc,mean_f1,mean_brier,l1_ratio
l1,0.01,saga,0.9655766307601681,0.36046176046176054,0.15130255350071956,
elasticnet,0.01,saga,0.9597307092857703,0.4377410468319558,0.14199863878204477,0.8
l1,0.1,saga,0.9505367286632181,0.47677095631641103,0.08750346832695159,
elasticnet,0.1,saga,0.9448130598853621,0.3972943722943723,0.09083360181685526,0.5
elasticnet,0.01,saga,0.9442870625851716,0.4129870129870129,0.12664505736597828,0.5
elasticnet,0.1,saga,0.9410129191394087,0.3945165945165945,0.09183511856598621,0.8
elasticnet,0.1,saga,0.9378866529589555,0.39945887445887446,0.09218178277245691,0.2
l2,0.1,lbfgs,0.9332893301588674,0.3826839826839827,0.09206493158253072,
elasticnet,0.01,saga,0.9326328164481669,0.403102453102453,0.11581535531724617,0.2
l2,0.01,lbfgs,0.927870911686262,0.37795815295815294,0.11160690333819055,
elasticnet,1.0,saga,0.9214235955615264,0.37121212121212116,0.0775930837546015,0.5
elasticnet,1.0,saga,0.9208859611529244,0.36666666666666664,0.0798692906033137,0.2
elasticnet,1.0,saga,0.9207945267296926,0.366017316017316,0.08330662700388375,0.8
l2,1.0,lbfgs,0.9207397921921996,0.3826839826839827,0.08538979400010283,
elasticnet,10.0,saga,0.9185240867506876,0.39696969696969703,0.08743569951073732,0.8
l2,10.0,lbfgs,0.9163595845861854,0.38939393939393946,0.08654380675802174,
l1,1.0,saga,0.9159778874302947,0.39329004329004325,0.09408438149198455,
elasticnet,10.0,saga,0.9147722829988839,0.39696969696969703,0.08730001697681232,0.2
l1,10.0,saga,0.9126077808343818,0.3893939393939394,0.08663690705828839,
elasticnet,10.0,saga,0.9126077808343818,0.3893939393939394,0.0870567782887496,0.5
