variable,avg_rank,univariate_rank,rf_rank,xgb_rank,corr_rank,in_lasso,n_methods,methods
elo_rating,2.25,5,1,1,2,False,4,"univariate, random_forest, xgboost, correlation"
is_former_champion,2.75,1,4,5,1,False,4,"univariate, random_forest, xgboost, correlation"
football_power_index,5.75,13,3,3,4,False,4,"univariate, random_forest, xgboost, correlation"
population_vs_winner,7.75,8,2,4,17,False,4,"univariate, random_forest, xgboost, correlation"
fifa_rank,9.0,6,-,-,12,False,2,"univariate, correlation"
wc_semifinals_before,10.75,19,7,6,11,False,4,"univariate, random_forest, xgboost, correlation"
years_since_last_win,12.5,16,18,7,9,False,4,"univariate, random_forest, xgboost, correlation"
population_vs_avg,13.0,21,8,9,14,False,4,"univariate, random_forest, xgboost, correlation"
football_tradition,14.5,2,6,47,3,False,4,"univariate, random_forest, xgboost, correlation"
gdp_per_capita_vs_winner,15.5,10,5,2,45,False,4,"univariate, random_forest, xgboost, correlation"
years_since_last_final,16.0,14,16,27,7,False,4,"univariate, random_forest, xgboost, correlation"
trade_pct_gdp,17.5,15,26,8,21,False,4,"univariate, random_forest, xgboost, correlation"
population_log,17.5,9,9,37,15,False,4,"univariate, random_forest, xgboost, correlation"
population,17.75,26,11,18,16,False,4,"univariate, random_forest, xgboost, correlation"
gdp_total_rank,19.75,12,28,19,20,False,4,"univariate, random_forest, xgboost, correlation"
wc_finals_before,20.0,22,20,30,8,False,4,"univariate, random_forest, xgboost, correlation"
population_rank,20.5,11,17,36,18,False,4,"univariate, random_forest, xgboost, correlation"
fifa_rank_inverse,20.5,28,-,-,13,False,2,"univariate, correlation"
wc_titles_before,21.0,24,24,26,10,False,4,"univariate, random_forest, xgboost, correlation"
wc_participations_before,22.0,25,12,29,22,False,4,"univariate, random_forest, xgboost, correlation"
health_spending_pct_gdp,22.5,20,-,-,25,False,2,"univariate, correlation"
is_host,23.0,27,42,17,6,False,4,"univariate, random_forest, xgboost, correlation"
gdp_total,25.25,39,14,21,27,False,4,"univariate, random_forest, xgboost, correlation"
is_strong_europe,26.25,31,35,16,23,False,4,"univariate, random_forest, xgboost, correlation"
urbanization_pct,27.0,33,32,12,31,False,4,"univariate, random_forest, xgboost, correlation"
gdp_total_log,27.25,30,10,41,28,False,4,"univariate, random_forest, xgboost, correlation"
gdp_per_capita_rank,28.5,32,22,20,40,False,4,"univariate, random_forest, xgboost, correlation"
is_strong_sa,28.75,18,43,49,5,False,4,"univariate, random_forest, xgboost, correlation"
military_personnel,29.0,34,-,-,24,False,2,"univariate, correlation"
is_asia,29.75,3,39,44,33,False,4,"univariate, random_forest, xgboost, correlation"
investment_pct_gdp,30.25,36,33,13,39,False,4,"univariate, random_forest, xgboost, correlation"
air_transport_passengers,30.75,41,21,35,26,False,4,"univariate, random_forest, xgboost, correlation"
fdi_pct_gdp,31.0,29,15,34,46,False,4,"univariate, random_forest, xgboost, correlation"
is_north_america,32.0,7,41,43,37,False,4,"univariate, random_forest, xgboost, correlation"
avg_goals_per_match,32.75,40,37,22,32,False,4,"univariate, random_forest, xgboost, correlation"
is_africa,33.0,4,49,45,34,False,4,"univariate, random_forest, xgboost, correlation"
electricity_access_pct,33.0,17,-,-,49,False,2,"univariate, correlation"
num_teams_in_tournament,33.5,35,44,25,30,False,4,"univariate, random_forest, xgboost, correlation"
is_south_america,34.0,23,48,46,19,False,4,"univariate, random_forest, xgboost, correlation"
total_goals_in_tournament,34.25,38,40,24,35,False,4,"univariate, random_forest, xgboost, correlation"
pop_density,36.25,46,13,38,48,False,4,"univariate, random_forest, xgboost, correlation"
inflation,36.75,43,30,11,63,False,4,"univariate, random_forest, xgboost, correlation"
years_since_last_wc,37.75,48,46,28,29,False,4,"univariate, random_forest, xgboost, correlation"
population_growth,38.0,59,19,10,64,False,4,"univariate, random_forest, xgboost, correlation"
gdp_growth,39.0,58,31,15,52,False,4,"univariate, random_forest, xgboost, correlation"
military_spending_pct_gdp,39.5,60,34,14,50,False,4,"univariate, random_forest, xgboost, correlation"
unemployment,40.0,44,-,-,36,False,2,"univariate, correlation"
tertiary_enrollment,40.0,42,-,-,38,False,2,"univariate, correlation"
infant_mortality,41.5,52,25,33,56,False,4,"univariate, random_forest, xgboost, correlation"
literacy_rate,42.0,-,-,-,42,False,1,correlation
under5_mortality,42.25,54,27,31,57,False,4,"univariate, random_forest, xgboost, correlation"
govt_spending_pct_gdp,44.5,45,-,-,44,False,2,"univariate, correlation"
gdp_per_capita_vs_avg,44.75,57,23,48,51,False,4,"univariate, random_forest, xgboost, correlation"
is_oceania,45.0,37,47,42,54,False,4,"univariate, random_forest, xgboost, correlation"
physicians_per_1000,45.0,49,-,-,41,False,2,"univariate, correlation"
gdp_per_capita,45.5,61,36,23,62,False,4,"univariate, random_forest, xgboost, correlation"
life_expectancy,46.0,63,29,32,60,False,4,"univariate, random_forest, xgboost, correlation"
rd_spending_pct_gdp,47.0,51,-,-,43,False,2,"univariate, correlation"
secondary_enrollment,48.5,50,-,-,47,False,2,"univariate, correlation"
gdp_per_capita_log,48.5,56,38,39,61,False,4,"univariate, random_forest, xgboost, correlation"
is_europe,48.75,55,45,40,55,False,4,"univariate, random_forest, xgboost, correlation"
edu_spending_pct_gdp,52.5,47,-,-,58,False,2,"univariate, correlation"
internet_users_pct,53.0,53,-,-,53,False,2,"univariate, correlation"
gini_index,60.5,62,-,-,59,False,2,"univariate, correlation"
